Provincia;Localidad;Dirección;Margen;Toma de datos;Precio;Rótulo;Tipo Venta;Rem.;Horario
MADRID;MADRID;CR M-301 VILLAVERDE-VALLECAS, 3,5;I;23/02/2015;1,214;CAMPSA;P;OM;L-D: 24H
MADRID;MADRID;CR M-607, 11,7;D;23/02/2015;1,208;PETROLANDIA;P;dm;L-D: 24H
MADRID;MADRID;CR N-2, 12,6;D;23/02/2015;1,209;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CR N-2, 12,6;I;23/02/2015;1,199;REPSOL;P;OM;L-D: 06:00-22:00
MADRID;MADRID;CR N-4 P.K. 6,70 D;D;23/02/2015;1,209;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CR N-4 P.K. 6,70 I;I;23/02/2015;1,209;REPSOL;P;OM;L-D: 24H
MADRID;MADRID;CTRA. DE LA CORUÑA km 11,6;D;23/02/2015;1,219;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;CTRA.M-403 (GETAFE-VILLAVERDE) (MARGEN IZQUIERDO) km 2;I;23/02/2015;1,188;SHELL;P;OM;L-D: 24H
MADRID;MADRID;EMILIO FERRARI, 68;N;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;GLORIETA EMBAJADORES, 0;D;18/02/2015;1,229;CEPSA;P;OM;L-S: 07:30-21:00
MADRID;MADRID;GLORIETA MARIANO SALVADOR MAELLA, S/N;D;23/02/2015;1,239;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;GLORIETA VALLE DEL ORO, 10;D;23/02/2015;1,219;CEPSA;P;dm;L-D: 24H
MADRID;MADRID;GLORIETA YUCATAN, S/N;D;23/02/2015;1,234;CEPSA;P;OM;L-D: 24H
MADRID;MADRID;GOYA, 24;N;23/02/2015;1,229;REPSOL;P;dm;L-D: 24H
MADRID;MADRID;HNOS. GARCIA NOBLEJAS, 35;N;23/02/2015;1,229;REPSOL;P;dm;"L-V: 06:00-23:00; S-D: 07:00-23:00"
MADRID;MADRID;M-40, PK 7.4 - ACCESO AL CAMPO DE LAS NACIONES, 2;I;23/02/2015;1,219;CEPSA;P;OM;L-D: 24H
